benchmark,solver,configuration,wallclock time,status,result
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,abcdsat_r18,nolimit,5000.47137594,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,cms55-nolimits-v19,default,511.694562912,complete,SAT-VERIFIED
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,cms55-nolimits-autotune-v19,default,5000.60103512,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,cms55-nolimits-gluebreak-v19,default,5000.01111794,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,cms55-nolimits-otherconf-v20,default,5001.00900602,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,glu_mix,default,5001.00906992,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,glucose-3.0_PADC_10_NoDRUP,default,5000.54232502,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,glucose-3.0_PADC_3_NoDRUP,default,5000.37586808,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,gluHack,default,5001.01001501,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,abcdsat_n18,default,5000.00808692,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,BreakIDGlucose,default,5000.22215605,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,BreakIDGlucoseSEL,default,5000.04476285,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,CaDiCaL,default,5001.00701785,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Candy,default,5001.00830913,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Candy,agile,5000.61827111,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,COMiniSatPS_Pulsar_no_drup,no_drup,5000.19379997,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,CPSparrow,default,5000.011765,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,expGlucoseSilent,default,5000.52217889,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,GHackCOMSPS_no_drup,ghack_no_drup,5000.29115891,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Glucose_Hack_Kiel_fastBVE,default,5000.14131308,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Lingeling,default,5000.31122613,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Maple_CM,default,5000.10862517,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Maple_CM_Dist,default,5000.01357913,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Maple_CM_ordUIP,default,5000.46209908,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Maple_CM_ordUIP+,default,5000.70019794,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,MapleCOMSPS_CHB_VSIDS_no_drup,CHB_VSIDS_no_drup,5000.2884891,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2_no_drup_fix,LRB_VSIDS_2_no_drup,5000.19108105,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,MapleCOMSPS_LRB_VSIDS_no_drup,LRB_VSIDS_no_drup,5000.42573905,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,ReasonLS,default_nodrup,5000.30672216,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,ReasonLS_h,default,5000.197752,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Riss7.1,NOLIMIT,5000.07342815,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,smallsat,default,5001.00921202,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,Sparrow2Riss-2018,NOLIMIT,5000.0,unkillable,UNKNOWN
NoLimit/Porkhunov/Cake_8_16.cnf.bz2,YalSAT,default,5000.63098788,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,abcdsat_r18,nolimit,5000.47705913,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,cms55-nolimits-v19,default,5000.38313985,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,cms55-nolimits-autotune-v19,default,5001.00708508,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,cms55-nolimits-gluebreak-v19,default,5000.63848305,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,cms55-nolimits-otherconf-v20,default,5000.9731822,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,glu_mix,default,5001.00853992,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,glucose-3.0_PADC_10_NoDRUP,default,5000.55247307,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,glucose-3.0_PADC_3_NoDRUP,default,5000.87121606,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,gluHack,default,5001.0101161,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,abcdsat_n18,default,0.863704919815,complete,UNSAT
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,BreakIDGlucose,default,5000.74737906,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,BreakIDGlucoseSEL,default,5001.00680709,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,CaDiCaL,default,5000.93240786,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Candy,default,5001.00917292,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Candy,agile,5000.78027606,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,COMiniSatPS_Pulsar_no_drup,no_drup,5000.59555101,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,CPSparrow,default,5000.51004291,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,expGlucoseSilent,default,5000.32286716,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,GHackCOMSPS_no_drup,ghack_no_drup,5000.46119618,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Glucose_Hack_Kiel_fastBVE,default,5001.00890589,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Lingeling,default,5000.58801198,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Maple_CM,default,5000.14445305,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Maple_CM_Dist,default,5000.61805081,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Maple_CM_ordUIP,default,5000.69707298,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Maple_CM_ordUIP+,default,5000.47811604,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,MapleCOMSPS_CHB_VSIDS_no_drup,CHB_VSIDS_no_drup,5000.34167409,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2_no_drup_fix,LRB_VSIDS_2_no_drup,5000.01332808,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,MapleCOMSPS_LRB_VSIDS_no_drup,LRB_VSIDS_no_drup,5000.32535291,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,ReasonLS,default_nodrup,5000.54914188,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,ReasonLS_h,default,5000.57427287,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Riss7.1,NOLIMIT,5000.24214792,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,smallsat,default,5001.00865698,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,Sparrow2Riss-2018,NOLIMIT,5000.0,unkillable,UNKNOWN
NoLimit/Porkhunov/Cake_9_19.cnf.bz2,YalSAT,default,5000.24298,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,abcdsat_r18,nolimit,5000.05011702,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,cms55-nolimits-v19,default,5001.00698805,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,cms55-nolimits-autotune-v19,default,5000.45808101,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,cms55-nolimits-gluebreak-v19,default,5001.00689912,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,cms55-nolimits-otherconf-v20,default,5001.00848413,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,glu_mix,default,5001.0100441,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,glucose-3.0_PADC_10_NoDRUP,default,5000.73411894,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,glucose-3.0_PADC_3_NoDRUP,default,5000.18225193,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,gluHack,default,5001.01006985,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,abcdsat_n18,default,0.920253038406,complete,UNSAT
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,BreakIDGlucose,default,5000.32407594,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,BreakIDGlucoseSEL,default,5000.23116589,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,CaDiCaL,default,5000.29240108,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Candy,default,5000.42853498,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Candy,agile,5000.69857907,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,COMiniSatPS_Pulsar_no_drup,no_drup,5000.53932905,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,CPSparrow,default,5000.61906099,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,expGlucoseSilent,default,5000.01448822,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,GHackCOMSPS_no_drup,ghack_no_drup,5001.00714588,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Glucose_Hack_Kiel_fastBVE,default,5001.0099411,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Lingeling,default,5001.01107597,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Maple_CM,default,5000.19404984,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Maple_CM_Dist,default,5000.89018607,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Maple_CM_ordUIP,default,5000.39111805,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Maple_CM_ordUIP+,default,5000.13612485,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,MapleCOMSPS_CHB_VSIDS_no_drup,CHB_VSIDS_no_drup,5000.46967387,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2_no_drup_fix,LRB_VSIDS_2_no_drup,5000.47949409,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,MapleCOMSPS_LRB_VSIDS_no_drup,LRB_VSIDS_no_drup,5000.76209688,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,ReasonLS,default_nodrup,5000.14977288,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,ReasonLS_h,default,5000.51898599,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Riss7.1,NOLIMIT,5000.38216209,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,smallsat,default,5001.00985694,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,Sparrow2Riss-2018,NOLIMIT,5000.0,unkillable,UNKNOWN
NoLimit/Porkhunov/Cake_9_20.cnf.bz2,YalSAT,default,5000.04559207,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_15.cnf.bz2,abcdsat_r18,nolimit,236.222615957,complete,UNSAT
NoLimit/Porkhunov/mchess_15.cnf.bz2,cms55-nolimits-v19,default,3391.53843498,complete,UNSAT
NoLimit/Porkhunov/mchess_15.cnf.bz2,cms55-nolimits-autotune-v19,default,3856.04225898,complete,UNSAT
NoLimit/Porkhunov/mchess_15.cnf.bz2,cms55-nolimits-gluebreak-v19,default,3861.65435004,complete,UNSAT
NoLimit/Porkhunov/mchess_15.cnf.bz2,cms55-nolimits-otherconf-v20,default,3369.02468896,complete,UNSAT
