benchmark,solver,configuration,wallclock time,status,result
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,glucose-3.0_PADC_10_NoDRUP,default,5000.08,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,glucose-3.0_PADC_3_NoDRUP,default,4999.91,timeout(cpu),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,gluHack,default,5000.03,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,CPSparrow,default,5000.06,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,dimetheus,randomsat,2285.63,complete,SAT-VERIFIED
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,expGlucoseSilent,default,5000.08,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,lawa,default,5000.05,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,probSAT,RANDOM,5000.04,timeout(cpu),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,Sparrow2Riss-2018,NOLIMIT,5000.02,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,YalSAT,default,5000.02,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,glucose-3.0_PADC_10_NoDRUP,default,5000.09,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,glucose-3.0_PADC_3_NoDRUP,default,5000.07,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,gluHack,default,5000.01,timeout(wallclock),UNKNOWN
cnf/Balint/unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,CPSparrow,default,5000.07,timeout(wallclock),UNKNOWN
